,genres,movie_name,movieId,year,Country
0,Action,http://dbpedia.org/resource/Army_of_Darkness,1215,1993,United States of America
1,Adventure,http://dbpedia.org/resource/Army_of_Darkness,1215,1993,United States of America
2,Comedy,http://dbpedia.org/resource/Army_of_Darkness,1215,1993,United States of America
3,Horror,http://dbpedia.org/resource/Army_of_Darkness,1215,1993,United States of America
4,Sci-Fi,http://dbpedia.org/resource/Army_of_Darkness,1215,1993,United States of America
5,Film-Noir,http://dbpedia.org/resource/Blade_Runner,541,1982,United States of America
6,Film-Noir,http://dbpedia.org/resource/Blade_Runner,541,1982,Hong Kong
7,Sci-Fi,http://dbpedia.org/resource/Blade_Runner,541,1982,United States of America
8,Sci-Fi,http://dbpedia.org/resource/Blade_Runner,541,1982,Hong Kong
9,Comedy,http://dbpedia.org/resource/Blazing_Saddles,3671,1974,United States of America
10,Western,http://dbpedia.org/resource/Blazing_Saddles,3671,1974,United States of America
11,Drama,http://dbpedia.org/resource/Blue_Velvet_(film),2076,1986,United States of America
12,Mystery,http://dbpedia.org/resource/Blue_Velvet_(film),2076,1986,United States of America
13,Drama,http://dbpedia.org/resource/Barry_Lyndon,2730,1975,United States of America
14,Drama,http://dbpedia.org/resource/Barry_Lyndon,2730,1975,United Kingdom
15,Comedy,http://dbpedia.org/resource/Buffy_the_Vampire_Slayer_(film),3264,1992,United States of America
16,Horror,http://dbpedia.org/resource/Buffy_the_Vampire_Slayer_(film),3264,1992,United States of America
17,Action,http://dbpedia.org/resource/Batman_Forever,153,1995,United States of America
18,Adventure,http://dbpedia.org/resource/Batman_Forever,153,1995,United States of America
19,Comedy,http://dbpedia.org/resource/Batman_Forever,153,1995,United States of America
20,Crime,http://dbpedia.org/resource/Batman_Forever,153,1995,United States of America
21,Action,http://dbpedia.org/resource/Batman_(1989_film),592,1989,United States of America
22,Adventure,http://dbpedia.org/resource/Batman_(1989_film),592,1989,United States of America
23,Crime,http://dbpedia.org/resource/Batman_(1989_film),592,1989,United States of America
24,Drama,http://dbpedia.org/resource/Batman_(1989_film),592,1989,United States of America
25,Action,http://dbpedia.org/resource/Batman_Returns,1377,1992,United States of America
26,Adventure,http://dbpedia.org/resource/Batman_Returns,1377,1992,United States of America
27,Comedy,http://dbpedia.org/resource/Batman_Returns,1377,1992,United States of America
28,Crime,http://dbpedia.org/resource/Batman_Returns,1377,1992,United States of America
29,Action,http://dbpedia.org/resource/Batman_&_Robin_(film),1562,1997,United States of America
30,Adventure,http://dbpedia.org/resource/Batman_&_Robin_(film),1562,1997,United States of America
31,Crime,http://dbpedia.org/resource/Batman_&_Robin_(film),1562,1997,United States of America
32,Horror,http://dbpedia.org/resource/Bride_of_the_Monster,3340,1956,United States of America
33,Sci-Fi,http://dbpedia.org/resource/Bride_of_the_Monster,3340,1956,United States of America
34,Drama,http://dbpedia.org/resource/Citizen_Kane,923,1941,United States of America
35,Drama,http://dbpedia.org/resource/Chariots_of_Fire,1957,1981,United Kingdom
36,Sci-Fi,http://dbpedia.org/resource/Dr._Strangelove,750,1963,United States of America
37,Sci-Fi,http://dbpedia.org/resource/Dr._Strangelove,750,1963,United Kingdom
38,War,http://dbpedia.org/resource/Dr._Strangelove,750,1963,United States of America
39,War,http://dbpedia.org/resource/Dr._Strangelove,750,1963,United Kingdom
40,Action,http://dbpedia.org/resource/Escape_from_New_York,1129,1981,United States of America
41,Adventure,http://dbpedia.org/resource/Escape_from_New_York,1129,1981,United States of America
42,Sci-Fi,http://dbpedia.org/resource/Escape_from_New_York,1129,1981,United States of America
43,Thriller,http://dbpedia.org/resource/Escape_from_New_York,1129,1981,United States of America
44,Drama,http://dbpedia.org/resource/Eyes_Wide_Shut,2712,1999,United States of America
45,Drama,http://dbpedia.org/resource/Eyes_Wide_Shut,2712,1999,United Kingdom
46,Action,http://dbpedia.org/resource/Evil_Dead_II,1261,1987,United States of America
47,Adventure,http://dbpedia.org/resource/Evil_Dead_II,1261,1987,United States of America
48,Comedy,http://dbpedia.org/resource/Evil_Dead_II,1261,1987,United States of America
49,Horror,http://dbpedia.org/resource/Evil_Dead_II,1261,1987,United States of America
50,Drama,http://dbpedia.org/resource/Fearless_(1993_film),448,1993,United States of America
51,Comedy,http://dbpedia.org/resource/Four_Weddings_and_a_Funeral,357,1994,United Kingdom
52,Romance,http://dbpedia.org/resource/Four_Weddings_and_a_Funeral,357,1994,United Kingdom
53,Action,http://dbpedia.org/resource/Full_Metal_Jacket,1222,1987,United States of America
54,Action,http://dbpedia.org/resource/Full_Metal_Jacket,1222,1987,United Kingdom
55,Drama,http://dbpedia.org/resource/Full_Metal_Jacket,1222,1987,United States of America
56,Drama,http://dbpedia.org/resource/Full_Metal_Jacket,1222,1987,United Kingdom
57,War,http://dbpedia.org/resource/Full_Metal_Jacket,1222,1987,United States of America
58,War,http://dbpedia.org/resource/Full_Metal_Jacket,1222,1987,United Kingdom
59,Action,http://dbpedia.org/resource/Godzilla_(1954_film),2363,1954,Japan
60,Sci-Fi,http://dbpedia.org/resource/Godzilla_(1954_film),2363,1954,Japan
61,Drama,http://dbpedia.org/resource/Glen_or_Glenda,2362,1953,United States of America
62,Adventure,http://dbpedia.org/resource/Galaxy_Quest,3175,1999,United States of America
63,Comedy,http://dbpedia.org/resource/Galaxy_Quest,3175,1999,United States of America
